🕘️更新时间,#genre#
2025-05-27 23:47:23,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0

📺央视频道,#genre#
CCTV-1综合,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-1综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1综合,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1综合,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV-1综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2财经,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8
CCTV-2财经,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2财经,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8
CCTV-2财经,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV-2财经,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3
CCTV-3综艺,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200
CCTV-3综艺,http://183.223.157.33:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://ak6668768.zicp.io:8802/live1003.m3u8
CCTV-3综艺,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope
CCTV-4中文国际,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope
CCTV-4中文国际,http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-4中文国际,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv5_1_ud.m3u8
CCTV-4中文国际,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://60.29.124.66:6080/hls/15/index.m3u8
CCTV-4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4中文国际,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
